anuncio,campanha,veiculo,data,modalidade,objetivo,publico,investimento,impressoes,cliques,motivo,dentro_do_plano,par_com_denominador,chave_par
Marcasfilial_filial_acaocashback-janeiro_alcance_2301,Alcance,Meta Ads,2023-01-04,Acaocashback Janeiro,Alcance,N/a,79.12,10454,13,campanha fora do plano,False,False,Alcance | Meta Ads
Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,Meta Ads,2023-01-28,Acao Influenciadores Fds4 Socio,Engajamento,N/a,4974.55,324441,5165,campanha fora do plano,False,False,Engajamento | Meta Ads
Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,Meta Ads,2023-01-29,Acao Influenciadores Fds4 Socio,Engajamento,N/a,5119.74,436678,4380,campanha fora do plano,False,False,Engajamento | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-03,Inauguracao,Alcance,Nao Socios,557.42,87723,174,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-03,Inauguracao,Alcance,Nao Socios,59.91,28735,38,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-04,Inauguracao,Alcance,Nao Socios,1167.49,87879,322,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-04,Inauguracao,Alcance,Nao Socios,299.86,122698,194,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-05,Inauguracao,Alcance,Nao Socios,1277.26,47729,261,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-05,Inauguracao,Alcance,Nao Socios,525.07,226053,370,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-06,Inauguracao,Alcance,Nao Socios,1422.09,53145,212,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-06,Inauguracao,Alcance,Nao Socios,525.44,214964,374,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-07,Inauguracao,Alcance,Nao Socios,1286.99,37164,193,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-07,Inauguracao,Alcance,Nao Socios,526.46,185274,315,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-08,Inauguracao,Alcance,Nao Socios,1277.78,36297,174,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-08,Inauguracao,Alcance,Nao Socios,512.19,169288,291,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-09,Inauguracao,Alcance,Nao Socios,1226.74,29033,160,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-09,Inauguracao,Alcance,Nao Socios,525.54,171352,289,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-10,Inauguracao,Alcance,Nao Socios,1486.3,52534,213,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-10,Inauguracao,Alcance,Nao Socios,532.9,163987,287,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-11,Inauguracao,Alcance,Nao Socios,1335.41,79517,308,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-11,Inauguracao,Alcance,Nao Socios,527.88,164106,293,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-12,Inauguracao,Alcance,Nao Socios,1297.44,54044,236,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-12,Inauguracao,Alcance,Nao Socios,511.44,178559,309,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-13,Inauguracao,Alcance,Nao Socios,1405.06,49634,206,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-13,Inauguracao,Alcance,Nao Socios,521.6,193408,313,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-14,Inauguracao,Alcance,Nao Socios,1277.87,43883,213,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-14,Inauguracao,Alcance,Nao Socios,524.74,178680,286,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-15,Inauguracao,Alcance,Nao Socios,1098.53,74145,186,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-15,Inauguracao,Alcance,Nao Socios,523.62,171593,286,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-16,Inauguracao,Alcance,Nao Socios,1407.32,407291,475,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-16,Inauguracao,Alcance,Nao Socios,526.98,158654,273,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-17,Inauguracao,Alcance,Nao Socios,1327.5,256842,423,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-17,Inauguracao,Alcance,Nao Socios,523.05,155006,310,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-18,Inauguracao,Alcance,Nao Socios,700.1,124631,198,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-18,Inauguracao,Alcance,Nao Socios,524.67,152436,245,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-19,Inauguracao,Alcance,Nao Socios,1431.39,469445,475,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-19,Inauguracao,Alcance,Nao Socios,507.81,151620,263,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-20,Inauguracao,Alcance,Nao Socios,1552.44,479752,572,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-20,Inauguracao,Alcance,Nao Socios,33.26,17784,36,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-21,Inauguracao,Alcance,Nao Socios,1533.41,482706,612,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-21,Inauguracao,Alcance,Nao Socios,387.64,137419,218,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-22,Inauguracao,Alcance,Nao Socios,1393.98,438498,511,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-22,Inauguracao,Alcance,Nao Socios,576.22,193642,302,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-23,Inauguracao,Alcance,Nao Socios,760.0,234544,279,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-23,Inauguracao,Alcance,Nao Socios,582.29,180739,284,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-24,Inauguracao,Alcance,Nao Socios,1408.08,408582,425,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-24,Inauguracao,Alcance,Nao Socios,597.72,167096,261,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-25,Inauguracao,Alcance,Nao Socios,1428.77,366820,396,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-25,Inauguracao,Alcance,Nao Socios,531.52,159075,283,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-26,Inauguracao,Alcance,Nao Socios,1579.1,474688,488,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-26,Inauguracao,Alcance,Nao Socios,557.91,203130,308,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-27,Inauguracao,Alcance,Nao Socios,1603.97,495629,486,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-27,Inauguracao,Alcance,Nao Socios,551.94,190633,357,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-28,Inauguracao,Alcance,Nao Socios,1483.5300000000002,469612,447,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-28,Inauguracao,Alcance,Nao Socios,589.44,189144,353,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-29,Inauguracao,Alcance,Nao Socios,1468.83,472708,438,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-29,Inauguracao,Alcance,Nao Socios,550.04,175473,275,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-30,Inauguracao,Alcance,Nao Socios,1377.76,400954,330,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-30,Inauguracao,Alcance,Nao Socios,567.06,175662,263,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Meta Ads,2023-08-31,Inauguracao,Alcance,Nao Socios,1427.44,393403,382,campanha fora do plano,False,False,Inauguracao Barra | Meta Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,Tiktok Ads,2023-08-31,Inauguracao,Alcance,Nao Socios,527.2,164774,248,campanha fora do plano,False,False,Inauguracao Barra | Tiktok Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-03,Inauguracao,Alcance,Nao Socios,388.4433,17470,119,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-04,Inauguracao,Alcance,Nao Socios,1275.7338,78918,471,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-05,Inauguracao,Alcance,Nao Socios,1277.5854,85092,499,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-06,Inauguracao,Alcance,Nao Socios,1272.5495,84492,403,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-07,Inauguracao,Alcance,Nao Socios,1276.9694,79926,391,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-08,Inauguracao,Alcance,Nao Socios,1275.7019,73488,443,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-09,Inauguracao,Alcance,Nao Socios,1277.3126,99344,367,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-10,Inauguracao,Alcance,Nao Socios,1277.6859,108409,395,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-11,Inauguracao,Alcance,Nao Socios,1279.5201,110722,363,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-12,Inauguracao,Alcance,Nao Socios,1275.8009,117756,371,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-13,Inauguracao,Alcance,Nao Socios,1276.7863,118954,435,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-14,Inauguracao,Alcance,Nao Socios,1274.3821,117822,441,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-15,Inauguracao,Alcance,Nao Socios,1275.0277,118925,349,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-16,Inauguracao,Alcance,Nao Socios,1277.2601,116098,339,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-17,Inauguracao,Alcance,Nao Socios,1277.6241,110796,329,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-18,Inauguracao,Alcance,Nao Socios,1277.902,107055,387,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-19,Inauguracao,Alcance,Nao Socios,1279.6593,112736,360,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-20,Inauguracao,Alcance,Nao Socios,1280.6768,115471,356,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-21,Inauguracao,Alcance,Nao Socios,1279.2121,109439,305,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-22,Inauguracao,Alcance,Nao Socios,1278.0588,105342,348,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-23,Inauguracao,Alcance,Nao Socios,1277.6881,110395,329,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-24,Inauguracao,Alcance,Nao Socios,1277.7297,116523,306,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-25,Inauguracao,Alcance,Nao Socios,1294.4068,91295,274,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-26,Inauguracao,Alcance,Nao Socios,1280.4899,96515,360,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-27,Inauguracao,Alcance,Nao Socios,1281.2336,113038,326,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-28,Inauguracao,Alcance,Nao Socios,1281.9218999999998,112385,309,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-29,Inauguracao,Alcance,Nao Socios,1281.7551,114393,358,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,Youtube Ads,2023-08-30,Inauguracao,Alcance,Nao Socios,1288.3351,109531,406,campanha fora do plano,False,False,Inauguracao Barra | Youtube Ads
