id_realizado,campanha,veiculo,data,investimento,impressoes,cliques,id_bloco,no_pacing
146,Inauguracao Barra,Meta Ads,2023-09-19,620.0899999999999,277767,200,,False
147,Inauguracao Barra,Tiktok Ads,2023-09-19,167.71,92319,120,,False
148,Inauguracao Barra,Meta Ads,2023-09-20,605.4000000000001,258002,151,,False
149,Inauguracao Barra,Tiktok Ads,2023-09-20,164.1,93095,118,,False
150,Inauguracao Barra,Meta Ads,2023-09-21,637.8599999999999,265417,169,,False
151,Inauguracao Barra,Tiktok Ads,2023-09-21,163.31,88912,105,,False
152,Inauguracao Barra,Meta Ads,2023-09-22,592.68,244249,159,,False
153,Inauguracao Barra,Tiktok Ads,2023-09-22,162.53,83654,119,,False
154,Inauguracao Barra,Meta Ads,2023-09-23,656.42,265447,183,,False
155,Inauguracao Barra,Tiktok Ads,2023-09-23,162.12,89922,152,,False
156,Inauguracao Barra,Meta Ads,2023-09-24,682.06,284106,207,,False
157,Inauguracao Barra,Tiktok Ads,2023-09-24,163.52,97625,130,,False
158,Inauguracao Barra,Meta Ads,2023-09-25,595.04,252366,177,,False
159,Inauguracao Barra,Tiktok Ads,2023-09-25,162.27,89934,147,,False
160,Inauguracao Barra,Meta Ads,2023-09-26,630.12,258686,160,,False
161,Inauguracao Barra,Tiktok Ads,2023-09-26,160.8,84452,104,,False
162,Inauguracao Barra,Meta Ads,2023-09-27,604.23,242636,169,,False
163,Inauguracao Barra,Tiktok Ads,2023-09-27,163.01,85647,106,,False
164,Inauguracao Barra,Meta Ads,2023-09-28,611.21,239719,154,,False
165,Inauguracao Barra,Tiktok Ads,2023-09-28,162.08,82481,121,,False
166,Inauguracao Barra,Meta Ads,2023-09-29,331.27,130017,74,,False
167,Inauguracao Barra,Tiktok Ads,2023-09-29,160.69,77036,94,,False
168,Inauguracao Barra,Tiktok Ads,2023-09-30,150.93,83986,130,,False
169,Inauguracao Barra,Youtube Ads,2023-09-01,286.1386,17411,82,,False
170,Inauguracao Barra,Youtube Ads,2023-09-02,613.4697,56744,181,,False
171,Inauguracao Barra,Youtube Ads,2023-09-03,613.7949,60557,298,,False
172,Inauguracao Barra,Youtube Ads,2023-09-04,612.6656,57780,250,,False
173,Inauguracao Barra,Youtube Ads,2023-09-05,611.7555,55067,250,,False
174,Inauguracao Barra,Youtube Ads,2023-09-06,613.0923,54918,260,,False
175,Inauguracao Barra,Youtube Ads,2023-09-07,614.0677000000001,55481,265,,False
176,Inauguracao Barra,Youtube Ads,2023-09-08,598.6353,54184,306,,False
177,Inauguracao Barra,Youtube Ads,2023-09-09,609.1777999999999,55072,295,,False
178,Inauguracao Barra,Youtube Ads,2023-09-10,613.8981,56731,310,,False
179,Inauguracao Barra,Youtube Ads,2023-09-11,459.8254,41571,205,,False
180,Inauguracao Barra,Youtube Ads,2023-09-12,460.0328,39609,200,,False
181,Inauguracao Barra,Youtube Ads,2023-09-13,460.0917,38057,184,,False
182,Inauguracao Barra,Youtube Ads,2023-09-14,459.9486,37537,200,,False
183,Inauguracao Barra,Youtube Ads,2023-09-15,459.8015,36285,180,,False
184,Inauguracao Barra,Youtube Ads,2023-09-16,460.0417,39161,203,,False
185,Inauguracao Barra,Youtube Ads,2023-09-17,459.9573,36607,185,,False
186,Inauguracao Barra,Youtube Ads,2023-09-18,460.1272,38131,166,,False
187,Inauguracao Barra,Youtube Ads,2023-09-19,460.313,31523,132,,False
188,Inauguracao Barra,Youtube Ads,2023-09-20,460.6183,38107,153,,False
189,Inauguracao Barra,Youtube Ads,2023-09-21,460.5768000000001,38903,158,,False
190,Inauguracao Barra,Youtube Ads,2023-09-22,460.416,38163,152,,False
191,Inauguracao Barra,Youtube Ads,2023-09-23,460.8574,39262,163,,False
192,Inauguracao Barra,Youtube Ads,2023-09-24,461.0239,40994,175,,False
193,Inauguracao Barra,Youtube Ads,2023-09-25,460.3627,40712,160,,False
194,Inauguracao Barra,Youtube Ads,2023-09-26,461.2736,37698,159,,False
195,Inauguracao Barra,Youtube Ads,2023-09-27,461.6705,35560,154,,False
196,Inauguracao Barra,Youtube Ads,2023-09-28,462.1445,36185,145,,False
197,Inauguracao Barra,Youtube Ads,2023-09-29,462.2317000000001,37570,188,,False
198,Inauguracao Barra,Youtube Ads,2023-09-30,463.0077,37283,184,,False
199,Inauguracao Barra,Tiktok Ads,2023-10-01,164.73,123557,200,,False
200,Inauguracao Barra,Meta Ads,2023-10-02,159.33,66818,53,,False
201,Inauguracao Barra,Tiktok Ads,2023-10-02,171.51,118090,164,,False
202,Inauguracao Barra,Meta Ads,2023-10-03,1719.62,475341,469,,False
203,Inauguracao Barra,Tiktok Ads,2023-10-03,170.16,110866,141,,False
204,Inauguracao Barra,Meta Ads,2023-10-04,1685.92,476318,541,,False
205,Inauguracao Barra,Tiktok Ads,2023-10-04,170.7,111909,172,,False
206,Inauguracao Barra,Meta Ads,2023-10-05,1667.47,474834,476,,False
207,Inauguracao Barra,Tiktok Ads,2023-10-05,169.66,109786,159,,False
208,Inauguracao Barra,Meta Ads,2023-10-06,1709.45,485462,475,,False
209,Inauguracao Barra,Tiktok Ads,2023-10-06,193.67,117948,189,,False
210,Inauguracao Barra,Meta Ads,2023-10-07,1697.9,494531,482,,False
211,Inauguracao Barra,Tiktok Ads,2023-10-07,212.24,136088,217,,False
212,Inauguracao Barra,Meta Ads,2023-10-08,1798.56,526788,544,,False
213,Inauguracao Barra,Tiktok Ads,2023-10-08,210.23,140140,226,,False
214,Inauguracao Barra,Meta Ads,2023-10-09,1400.78,420273,411,,False
215,Inauguracao Barra,Tiktok Ads,2023-10-09,211.82,128962,183,,False
216,Inauguracao Barra,Meta Ads,2023-10-10,1703.86,469212,390,,False
217,Inauguracao Barra,Tiktok Ads,2023-10-10,212.72,116128,193,,False
218,Inauguracao Barra,Meta Ads,2023-10-11,1863.83,477262,267,,False
219,Inauguracao Barra,Tiktok Ads,2023-10-11,214.0,127463,195,,False
220,Inauguracao Barra,Meta Ads,2023-10-12,2372.9300000000003,558083,20,,False
221,Inauguracao Barra,Tiktok Ads,2023-10-12,208.82,133414,195,,False
222,Inauguracao Barra,Meta Ads,2023-10-13,2288.78,549442,19,,False
223,Inauguracao Barra,Tiktok Ads,2023-10-13,208.11,133199,214,,False
224,Inauguracao Barra,Meta Ads,2023-10-14,2344.9100000000003,564813,16,,False
225,Inauguracao Barra,Tiktok Ads,2023-10-14,208.84,130857,231,,False
226,Inauguracao Barra,Meta Ads,2023-10-15,1886.53,447155,15,,False
227,Inauguracao Barra,Tiktok Ads,2023-10-15,211.62,137825,222,,False
228,Inauguracao Barra,Meta Ads,2023-10-16,2328.26,587317,19,,False
229,Inauguracao Barra,Tiktok Ads,2023-10-16,213.89,136245,217,,False
230,Inauguracao Barra,Meta Ads,2023-10-17,2336.22,564055,18,,False
231,Inauguracao Barra,Tiktok Ads,2023-10-17,209.33,126242,185,,False
232,Inauguracao Barra,Meta Ads,2023-10-18,2201.8,498692,12,,False
233,Inauguracao Barra,Tiktok Ads,2023-10-18,215.03000000000003,129026,187,,False
234,Inauguracao Barra,Meta Ads,2023-10-19,2122.83,512562,11,,False
235,Inauguracao Barra,Tiktok Ads,2023-10-19,211.73,109666,174,,False
236,Inauguracao Barra,Meta Ads,2023-10-20,2007.71,486642,17,,False
237,Inauguracao Barra,Tiktok Ads,2023-10-20,204.26,96416,119,,False
238,Inauguracao Barra,Meta Ads,2023-10-21,2155.11,499410,9,,False
239,Inauguracao Barra,Tiktok Ads,2023-10-21,204.98,97509,136,,False
240,Inauguracao Barra,Meta Ads,2023-10-22,361.31,89129,5,,False
241,Inauguracao Barra,Tiktok Ads,2023-10-22,204.86,101366,149,,False
242,Inauguracao Barra,Meta Ads,2023-10-23,2044.12,532316,13,,False
243,Inauguracao Barra,Tiktok Ads,2023-10-23,205.46,100999,130,,False
244,Inauguracao Barra,Meta Ads,2023-10-24,3090.09,631177,17,,False
245,Inauguracao Barra,Tiktok Ads,2023-10-24,204.85,94626,118,,False
246,Inauguracao Barra,Meta Ads,2023-10-25,2757.48,581347,9,,False
247,Inauguracao Barra,Tiktok Ads,2023-10-25,186.78,92341,113,,False
248,Inauguracao Barra,Meta Ads,2023-10-27,228.7,97189,99,,False
249,Inauguracao Barra,Meta Ads,2023-10-28,342.36,150401,180,,False
250,Inauguracao Barra,Meta Ads,2023-10-29,328.59,132339,218,,False
251,Inauguracao Barra,Meta Ads,2023-10-30,291.18,98714,205,,False
252,Inauguracao Barra,Meta Ads,2023-10-31,309.17,87251,140,,False
253,Inauguracao Barra,Youtube Ads,2023-10-02,626.5828,41129,123,,False
254,Inauguracao Barra,Youtube Ads,2023-10-03,627.8859,58166,212,,False
255,Inauguracao Barra,Youtube Ads,2023-10-04,627.0318,56753,236,,False
256,Inauguracao Barra,Youtube Ads,2023-10-05,622.3131999999999,54455,251,,False
257,Inauguracao Barra,Youtube Ads,2023-10-06,628.325,54624,252,,False
258,Inauguracao Barra,Youtube Ads,2023-10-07,629.2302999999999,55856,234,,False
259,Inauguracao Barra,Youtube Ads,2023-10-08,628.7366,56595,279,,False
260,Inauguracao Barra,Youtube Ads,2023-10-09,627.7064,54528,215,,False
261,Inauguracao Barra,Youtube Ads,2023-10-10,624.7022000000001,50465,232,,False
262,Inauguracao Barra,Youtube Ads,2023-10-11,630.9649,41454,186,,False
263,Inauguracao Barra,Youtube Ads,2023-10-12,629.1334999999999,44770,296,,False
264,Inauguracao Barra,Youtube Ads,2023-10-13,627.9487,37128,239,,False
265,Inauguracao Barra,Youtube Ads,2023-10-14,626.4183,34975,234,,False
266,Inauguracao Barra,Youtube Ads,2023-10-15,628.5866,35071,235,,False
267,Inauguracao Barra,Youtube Ads,2023-10-16,628.8987,38180,266,,False
268,Inauguracao Barra,Youtube Ads,2023-10-17,629.6163,35765,214,,False
269,Inauguracao Barra,Youtube Ads,2023-10-18,620.4587,36059,219,,False
270,Inauguracao Barra,Youtube Ads,2023-10-19,536.3741,31671,195,,False
271,Inauguracao Barra,Youtube Ads,2023-10-20,545.6558,29704,172,,False
272,Inauguracao Barra,Youtube Ads,2023-10-21,545.9221,29902,198,,False
273,Inauguracao Barra,Youtube Ads,2023-10-22,545.6401,30687,193,,False
274,Inauguracao Barra,Youtube Ads,2023-10-23,546.1319000000001,32010,166,,False
275,Inauguracao Barra,Youtube Ads,2023-10-24,546.5581,31927,172,,False
276,Inauguracao Barra,Youtube Ads,2023-10-25,547.0749000000001,32110,179,,False
277,Inauguracao Barra,Meta Ads,2023-10-18,34.4,1621,23,,False
278,Inauguracao Barra,Meta Ads,2023-10-19,473.15,11872,197,,False
279,Inauguracao Barra,Meta Ads,2023-10-20,595.72,12761,129,,False
280,Inauguracao Barra,Meta Ads,2023-10-21,622.01,13077,131,,False
281,Inauguracao Barra,Meta Ads,2023-10-22,92.24,1621,17,,False
282,Inauguracao Barra,Youtube Ads,2023-10-19,58.0428,1352,1,,False
283,Inauguracao Barra,Youtube Ads,2023-10-20,222.1491,3747,17,,False
284,Inauguracao Barra,Youtube Ads,2023-10-21,240.9722,4148,17,,False
285,Inauguracao Barra,Youtube Ads,2023-10-22,242.4975,4569,27,,False
286,Inauguracao Bonoco,Meta Ads,2023-07-20,167.5,4292,49,,False
287,Inauguracao Bonoco,Meta Ads,2023-07-21,699.74,12738,71,,False
288,Inauguracao Bonoco,Meta Ads,2023-07-22,789.69,12114,38,,False
289,Inauguracao Bonoco,Meta Ads,2023-07-23,809.5,11880,60,,False
290,Inauguracao Bonoco,Meta Ads,2023-07-24,785.57,11581,34,,False
291,Inauguracao Bonoco,Youtube Ads,2023-07-20,44.4898,2933,19,,False
292,Inauguracao Bonoco,Youtube Ads,2023-07-21,185.0285,5830,47,,False
293,Inauguracao Bonoco,Youtube Ads,2023-07-22,290.0468,7491,58,,False
294,Inauguracao Bonoco,Youtube Ads,2023-07-23,310.7146,7768,46,,False
295,Inauguracao Bonoco,Youtube Ads,2023-07-24,301.8933,6869,46,,False
296,Inauguracao Bonoco,Meta Ads,2023-08-03,174.2,5868,28,,False
297,Inauguracao Bonoco,Meta Ads,2023-08-04,294.08000000000004,9709,53,,False
298,Inauguracao Bonoco,Meta Ads,2023-08-05,308.4,9376,53,,False
299,Inauguracao Bonoco,Meta Ads,2023-08-06,328.68,9688,38,,False
300,Inauguracao Bonoco,Meta Ads,2023-08-07,325.14,9586,39,,False
301,Inauguracao Bonoco,Meta Ads,2023-08-08,311.26,9169,31,,False
302,Inauguracao Bonoco,Meta Ads,2023-08-09,306.7,8952,31,,False
303,Inauguracao Bonoco,Meta Ads,2023-08-10,310.68,8820,51,,False
304,Inauguracao Bonoco,Meta Ads,2023-08-11,302.64,8861,38,,False
305,Inauguracao Bonoco,Meta Ads,2023-08-12,316.84000000000003,9225,40,,False
306,Inauguracao Bonoco,Meta Ads,2023-08-13,320.15000000000003,10477,40,,False
307,Inauguracao Bonoco,Meta Ads,2023-08-14,313.86,10306,38,,False
308,Inauguracao Bonoco,Meta Ads,2023-08-15,312.27,9466,35,,False
309,Inauguracao Bonoco,Meta Ads,2023-08-16,304.74,9419,35,,False
310,Inauguracao Bonoco,Meta Ads,2023-08-17,316.27,9504,31,,False
311,Inauguracao Bonoco,Meta Ads,2023-08-18,304.83,9228,28,,False
312,Inauguracao Bonoco,Meta Ads,2023-08-19,301.46000000000004,9017,27,,False
313,Inauguracao Bonoco,Youtube Ads,2023-08-03,28.555,2292,9,,False
314,Inauguracao Bonoco,Youtube Ads,2023-08-04,117.7915,5818,22,,False
315,Inauguracao Bonoco,Youtube Ads,2023-08-05,165.38389999999998,6723,53,,False
316,Inauguracao Bonoco,Youtube Ads,2023-08-06,198.7941,7965,56,,False
317,Inauguracao Bonoco,Youtube Ads,2023-08-07,272.1504,7921,54,,False
318,Inauguracao Bonoco,Youtube Ads,2023-08-08,252.347,7560,38,,False
319,Inauguracao Bonoco,Youtube Ads,2023-08-09,286.0457,8020,53,,False
320,Inauguracao Bonoco,Youtube Ads,2023-08-10,243.4756,7095,23,,False
321,Inauguracao Bonoco,Youtube Ads,2023-08-11,274.8621,7578,35,,False
322,Inauguracao Bonoco,Youtube Ads,2023-08-12,335.8171,8426,51,,False
323,Inauguracao Bonoco,Youtube Ads,2023-08-13,301.4593,8282,54,,False
324,Inauguracao Bonoco,Youtube Ads,2023-08-14,263.5623,8154,61,,False
325,Inauguracao Bonoco,Youtube Ads,2023-08-15,255.0234,7327,43,,False
326,Inauguracao Bonoco,Youtube Ads,2023-08-16,248.60380000000004,7626,55,,False
327,Inauguracao Bonoco,Youtube Ads,2023-08-17,248.4726,7973,72,,False
328,Inauguracao Bonoco,Youtube Ads,2023-08-18,226.7026,7187,65,,False
329,Inauguracao Bonoco,Youtube Ads,2023-08-19,199.269,7224,58,,False
330,Inauguracao Cristal,Tiktok Ads,2023-08-25,193.28,60071,132,,False
331,Inauguracao Cristal,Meta Ads,2023-08-26,3727.15,1091872,1657,,False
332,Inauguracao Cristal,Tiktok Ads,2023-08-26,716.4,204206,466,,False
333,Inauguracao Cristal,Meta Ads,2023-08-27,3963.01,761819,1787,,False
334,Inauguracao Cristal,Tiktok Ads,2023-08-27,731.59,163856,385,,False
335,Inauguracao Cristal,Meta Ads,2023-08-28,3739.44,702329,1537,,False
336,Inauguracao Cristal,Tiktok Ads,2023-08-28,763.82,129296,307,,False
337,Inauguracao Cristal,Meta Ads,2023-08-29,2723.71,362383,1031,,False
338,Inauguracao Cristal,Tiktok Ads,2023-08-29,744.63,108456,250,,False
339,Inauguracao Cristal,Meta Ads,2023-08-30,4384.27,523268,1619,,False
340,Inauguracao Cristal,Tiktok Ads,2023-08-30,743.89,97705,219,,False
341,Inauguracao Cristal,Meta Ads,2023-08-31,4562.42,485931,1657,,False
342,Inauguracao Cristal,Tiktok Ads,2023-08-31,698.91,78085,191,,False
343,Inauguracao Cristal,Youtube Ads,2023-08-25,965.7486,56423,262,,False
344,Inauguracao Cristal,Youtube Ads,2023-08-26,3609.5716,304586,902,,False
345,Inauguracao Cristal,Youtube Ads,2023-08-27,3686.0497,335367,926,,False
346,Inauguracao Cristal,Youtube Ads,2023-08-28,3682.6062,344835,893,,False
347,Inauguracao Cristal,Youtube Ads,2023-08-29,3687.5256,348732,1049,,False
348,Inauguracao Cristal,Youtube Ads,2023-08-30,3684.9474,350607,900,,False
349,Inauguracao Cristal,Youtube Ads,2023-08-31,3692.3184,349166,1058,,False
