flight_id,Campanha,Veiculo,Modalidade,Objetivo,Publico,Data de Inicio,Data de Termino,dias_planejados,plan_investimento,plan_impressoes,plan_cliques,dias_entregues,dias_compartilhados,real_investimento,real_impressoes,real_cliques,pacing_investimento,pacing_impressoes,pacing_cliques,entrega_compartilhada
12,Feira de Santana,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,13440.0,1680000,5033,25.0,0.0,13438.9003,1074215.0,2346.0,0.9999181770833333,0.6394136904761905,0.466123584343334,False
13,Feira de Santana,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,13526.400390625,2254400,4508,31.0,0.0,13526.4,5977295.0,4507.0,0.9999999711212896,2.651390613910575,0.9997781721384206,False
14,Feira de Santana,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,13440.0,1680000,5033,31.0,0.0,13437.277399999999,1308771.0,3357.0,0.999797425595238,0.7790303571428572,0.6669978144247963,False
15,Fortaleza,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,4950.0,990000,495,28.0,0.0,4949.69,3486531.0,2295.0,0.9999373737373737,3.521748484848485,4.636363636363637,False
16,Fortaleza,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,4200.0,420000,210,25.0,0.0,4200.2319,462621.0,180.0,1.0000552142857142,1.1014785714285715,0.8571428571428571,False
17,Fortaleza,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,11550.0,2310000,1155,31.0,0.0,11550.300000000001,8122664.0,3798.0,1.000025974025974,3.516304761904762,3.2883116883116883,False
18,Fortaleza,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,8400.0,840000,420,31.0,0.0,8398.8864,986755.0,544.0,0.9998674285714285,1.1747083333333332,1.2952380952380953,False
19,Freeshop,Meta Ads,Regular,Alcance,Nao Socios,2024-06-17,2024-06-30,13.0,99257.5625,33085853,330858,40.0,40.0,165139.62,42111642.0,39764.0,1.6637484927156054,1.2727990419349322,0.12018449002291014,True
20,Freeshop,Meta Ads,Regular,Alcance,Socios,2024-06-17,2024-06-30,13.0,20900.0,1900000,19000,40.0,40.0,165139.62,42111642.0,39764.0,7.901417224880382,22.164022105263157,2.092842105263158,True
21,Freeshop,Meta Ads,Trade,Alcance,Socios,2024-06-18,2024-06-30,12.0,5000.0,1250000,1872,38.0,38.0,163274.05,41025327.0,39057.0,32.65481,32.8202616,20.86378205128205,True
22,Freeshop,Meta Ads,Trade,Alcance,Socios,2024-06-18,2024-07-08,20.0,5000.0,1250000,1872,46.0,38.0,165092.05,41698361.0,39900.0,33.018409999999996,33.3586888,21.314102564102566,True
23,Impulsionamentos,Meta Ads,Regular,Engajamento,Socios,2024-06-01,2024-06-30,29.0,74500.0,7450000,37250,27.0,0.0,74500.0,6827257.0,39765.0,1.0,0.9164103355704698,1.06751677852349,False
24,Impulsionamentos,Tiktok Ads,Regular,Video Views,Socios,2024-06-01,2024-06-30,29.0,46000.0,4600000,23000,19.0,0.0,22325.39,1251351.0,2679.0,0.48533456521739127,0.2720328260869565,0.11647826086956521,False
25,Impulsionamentos,Meta Ads,Regular,Engajamento,Socios,2024-07-01,2024-07-31,30.0,32666.669921875,3266667,16333,26.0,0.0,29421.98,2981967.0,31387.0,0.9006727673915051,0.9128469476686788,1.9216922794342741,False
26,Impulsionamentos,Tiktok Ads,Regular,Video Views,Socios,2024-07-01,2024-07-31,30.0,16333.330078125,1088888,5444,20.0,0.0,13054.710000000001,859566.0,2044.0,0.7992681184765862,0.7893979913452991,0.37545922116091107,False
27,Inauguracao,Tiktok Ads,Regular,Alcance,Nao Socios,2024-07-19,2024-07-31,12.0,24797.5,3542500,18233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
28,Joao Pessoa,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,22616.80078125,5654200,17005,57.0,57.0,25676.79,9607978.0,9352.0,1.1352971734749868,1.699263910013795,0.5499558953249044,True
29,Joao Pessoa,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,,0,0,50.0,50.0,5338.1103,557162.0,1332.0,,,,True
30,Joao Pessoa,Meta Ads,Inauguracao,Alcance,Socios,2024-06-01,2024-06-30,29.0,3060.0,170000,1700,57.0,57.0,25676.79,9607978.0,9352.0,8.391107843137256,56.517517647058824,5.501176470588235,True
31,Joao Pessoa,Youtube Ads,Inauguracao,Alcance,Socios,2024-06-01,2024-06-30,29.0,3570.0,170000,510,50.0,50.0,5338.1103,557162.0,1332.0,1.4952689915966388,3.277423529411765,2.611764705882353,True
32,Joao Pessoa,Tiktok Ads,Regular,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,11919.0,2383800,11919,18.0,0.0,11910.15,709911.0,2782.0,0.999257488044299,0.29780644349358165,0.2334088430237436,False
33,Joao Pessoa - Não Pulavel,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,,0,0,26.0,0.0,5949.3076,558959.0,694.0,,,,False
34,Maceio,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,13899.599609375,1069200,534,28.0,0.0,13897.32,5545067.0,4565.0,0.9998359946013508,5.186183127572017,8.54868913857678,False
35,Maceio,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,10692.0,1069200,534,25.0,0.0,10691.3616,972421.0,1489.0,0.9999402918069585,0.9094846614291059,2.7883895131086143,False
36,Maceio,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,30888.0,7722000,6177,31.0,0.0,60343.21,14702170.0,13880.0,1.9536133773633773,1.9039329189329188,2.2470454913388376,False
37,Maceio,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,30888.0,2574000,2059,31.0,0.0,30885.1302,2544311.0,11835.0,0.9999070901320901,0.988465811965812,5.747935891209325,False
38,Mega Day,Meta Ads,Regular,Alcance,Socios,2024-06-12,2024-06-19,7.0,42560.0,5320000,13300,8.0,0.0,42560.0,3356984.0,19432.0,1.0,0.631012030075188,1.4610526315789474,False
39,Mega Day,Meta Ads,Regular,Alcance,Socios,2024-07-08,2024-07-17,9.0,59280.0,4560000,11400,8.0,0.0,59280.0,2653301.0,20403.0,1.0,0.5818642543859649,1.789736842105263,False
40,Oportunidades Incriveis,Meta Ads,Regular,Alcance,Socios,2024-07-05,2024-07-18,13.0,45000.0,4500000,11250,14.0,0.0,45000.0,6849360.0,14106.0,1.0,1.52208,1.2538666666666667,False
41,Uberlandia,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,9743.580078125,1771560,3543,30.0,0.0,9743.48,5144308.0,3488.0,0.9999897288138243,2.9038293933030777,0.9844764324019193,False
42,Uberlandia,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-06-01,2024-06-30,29.0,8731.16015625,1091395,3270,26.0,0.0,8730.8509,788460.0,1077.0,0.9999645801652397,0.7224332162049487,0.3293577981651376,False
43,Uberlandia,Meta Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,17082.900390625,2847150,5694,31.0,0.0,17082.94,7225048.0,4939.0,1.0000023186563225,2.537642203607116,0.8674042852125043,False
44,Uberlandia,Youtube Ads,Inauguracao,Alcance,Nao Socios,2024-07-01,2024-07-31,30.0,15232.0,1904000,5704,31.0,0.0,15231.144,1343796.0,3286.0,0.9999438025210085,0.7057752100840337,0.5760869565217391,False
