Base,campaign_name,Campanha,Soma de Cliques,Data,Data de Inicio,Data de Termino,Soma de Dias_Veiculacao,Soma de Impressoes,Soma de Investimento,Modalidade,Objetivo,Publico,Veiculo,real_id
Realizado,Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,5165,2023-01-28,,,,324441,4974.55,Acao Influenciadores Fds4 Socio,Engajamento,N/a,Meta Ads,21
Realizado,Marcasfilial_filial_acao-influenciadores-fds4-socio_engajamento_2301,Engajamento,4380,2023-01-29,,,,436678,5119.74,Acao Influenciadores Fds4 Socio,Engajamento,N/a,Meta Ads,22
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,174,2023-08-03,,,,87723,557.42,Inauguracao,Alcance,Nao Socios,Meta Ads,23
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,38,2023-08-03,,,,28735,59.91,Inauguracao,Alcance,Nao Socios,Tiktok Ads,24
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,322,2023-08-04,,,,87879,1167.49,Inauguracao,Alcance,Nao Socios,Meta Ads,25
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,194,2023-08-04,,,,122698,299.86,Inauguracao,Alcance,Nao Socios,Tiktok Ads,26
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,261,2023-08-05,,,,47729,1277.26,Inauguracao,Alcance,Nao Socios,Meta Ads,27
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,370,2023-08-05,,,,226053,525.07,Inauguracao,Alcance,Nao Socios,Tiktok Ads,28
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,212,2023-08-06,,,,53145,1422.09,Inauguracao,Alcance,Nao Socios,Meta Ads,29
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,374,2023-08-06,,,,214964,525.44,Inauguracao,Alcance,Nao Socios,Tiktok Ads,30
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,193,2023-08-07,,,,37164,1286.99,Inauguracao,Alcance,Nao Socios,Meta Ads,31
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,315,2023-08-07,,,,185274,526.46,Inauguracao,Alcance,Nao Socios,Tiktok Ads,32
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,174,2023-08-08,,,,36297,1277.78,Inauguracao,Alcance,Nao Socios,Meta Ads,33
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,291,2023-08-08,,,,169288,512.19,Inauguracao,Alcance,Nao Socios,Tiktok Ads,34
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,160,2023-08-09,,,,29033,1226.74,Inauguracao,Alcance,Nao Socios,Meta Ads,35
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,289,2023-08-09,,,,171352,525.54,Inauguracao,Alcance,Nao Socios,Tiktok Ads,36
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,213,2023-08-10,,,,52534,1486.3,Inauguracao,Alcance,Nao Socios,Meta Ads,37
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,287,2023-08-10,,,,163987,532.9,Inauguracao,Alcance,Nao Socios,Tiktok Ads,38
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,308,2023-08-11,,,,79517,1335.41,Inauguracao,Alcance,Nao Socios,Meta Ads,39
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,293,2023-08-11,,,,164106,527.88,Inauguracao,Alcance,Nao Socios,Tiktok Ads,40
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,236,2023-08-12,,,,54044,1297.44,Inauguracao,Alcance,Nao Socios,Meta Ads,41
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,309,2023-08-12,,,,178559,511.44,Inauguracao,Alcance,Nao Socios,Tiktok Ads,42
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,206,2023-08-13,,,,49634,1405.06,Inauguracao,Alcance,Nao Socios,Meta Ads,43
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,313,2023-08-13,,,,193408,521.6,Inauguracao,Alcance,Nao Socios,Tiktok Ads,44
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,213,2023-08-14,,,,43883,1277.87,Inauguracao,Alcance,Nao Socios,Meta Ads,45
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,286,2023-08-14,,,,178680,524.74,Inauguracao,Alcance,Nao Socios,Tiktok Ads,46
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,186,2023-08-15,,,,74145,1098.53,Inauguracao,Alcance,Nao Socios,Meta Ads,47
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,286,2023-08-15,,,,171593,523.62,Inauguracao,Alcance,Nao Socios,Tiktok Ads,48
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,475,2023-08-16,,,,407291,1407.32,Inauguracao,Alcance,Nao Socios,Meta Ads,49
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,273,2023-08-16,,,,158654,526.98,Inauguracao,Alcance,Nao Socios,Tiktok Ads,50
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,423,2023-08-17,,,,256842,1327.5,Inauguracao,Alcance,Nao Socios,Meta Ads,51
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,310,2023-08-17,,,,155006,523.05,Inauguracao,Alcance,Nao Socios,Tiktok Ads,52
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,198,2023-08-18,,,,124631,700.1,Inauguracao,Alcance,Nao Socios,Meta Ads,53
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,245,2023-08-18,,,,152436,524.67,Inauguracao,Alcance,Nao Socios,Tiktok Ads,54
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,475,2023-08-19,,,,469445,1431.39,Inauguracao,Alcance,Nao Socios,Meta Ads,55
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,263,2023-08-19,,,,151620,507.81,Inauguracao,Alcance,Nao Socios,Tiktok Ads,56
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,572,2023-08-20,,,,479752,1552.44,Inauguracao,Alcance,Nao Socios,Meta Ads,57
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,36,2023-08-20,,,,17784,33.26,Inauguracao,Alcance,Nao Socios,Tiktok Ads,58
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,612,2023-08-21,,,,482706,1533.41,Inauguracao,Alcance,Nao Socios,Meta Ads,59
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,218,2023-08-21,,,,137419,387.64,Inauguracao,Alcance,Nao Socios,Tiktok Ads,60
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,511,2023-08-22,,,,438498,1393.98,Inauguracao,Alcance,Nao Socios,Meta Ads,61
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,302,2023-08-22,,,,193642,576.22,Inauguracao,Alcance,Nao Socios,Tiktok Ads,62
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,279,2023-08-23,,,,234544,760.0,Inauguracao,Alcance,Nao Socios,Meta Ads,63
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,284,2023-08-23,,,,180739,582.29,Inauguracao,Alcance,Nao Socios,Tiktok Ads,64
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,425,2023-08-24,,,,408582,1408.08,Inauguracao,Alcance,Nao Socios,Meta Ads,65
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,261,2023-08-24,,,,167096,597.72,Inauguracao,Alcance,Nao Socios,Tiktok Ads,66
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,396,2023-08-25,,,,366820,1428.77,Inauguracao,Alcance,Nao Socios,Meta Ads,67
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,283,2023-08-25,,,,159075,531.52,Inauguracao,Alcance,Nao Socios,Tiktok Ads,68
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,488,2023-08-26,,,,474688,1579.1,Inauguracao,Alcance,Nao Socios,Meta Ads,69
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,308,2023-08-26,,,,203130,557.91,Inauguracao,Alcance,Nao Socios,Tiktok Ads,70
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,486,2023-08-27,,,,495629,1603.97,Inauguracao,Alcance,Nao Socios,Meta Ads,71
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,357,2023-08-27,,,,190633,551.94,Inauguracao,Alcance,Nao Socios,Tiktok Ads,72
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,447,2023-08-28,,,,469612,1483.5300000000002,Inauguracao,Alcance,Nao Socios,Meta Ads,73
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,353,2023-08-28,,,,189144,589.44,Inauguracao,Alcance,Nao Socios,Tiktok Ads,74
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,438,2023-08-29,,,,472708,1468.83,Inauguracao,Alcance,Nao Socios,Meta Ads,75
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,275,2023-08-29,,,,175473,550.04,Inauguracao,Alcance,Nao Socios,Tiktok Ads,76
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,330,2023-08-30,,,,400954,1377.76,Inauguracao,Alcance,Nao Socios,Meta Ads,77
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,263,2023-08-30,,,,175662,567.06,Inauguracao,Alcance,Nao Socios,Tiktok Ads,78
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,382,2023-08-31,,,,393403,1427.44,Inauguracao,Alcance,Nao Socios,Meta Ads,79
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308,Inauguracao Barra,248,2023-08-31,,,,164774,527.2,Inauguracao,Alcance,Nao Socios,Tiktok Ads,80
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,119,2023-08-03,,,,17470,388.4433,Inauguracao,Alcance,Nao Socios,Youtube Ads,81
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,471,2023-08-04,,,,78918,1275.7338,Inauguracao,Alcance,Nao Socios,Youtube Ads,82
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,499,2023-08-05,,,,85092,1277.5854,Inauguracao,Alcance,Nao Socios,Youtube Ads,83
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,403,2023-08-06,,,,84492,1272.5495,Inauguracao,Alcance,Nao Socios,Youtube Ads,84
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,391,2023-08-07,,,,79926,1276.9694,Inauguracao,Alcance,Nao Socios,Youtube Ads,85
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,443,2023-08-08,,,,73488,1275.7019,Inauguracao,Alcance,Nao Socios,Youtube Ads,86
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,367,2023-08-09,,,,99344,1277.3126,Inauguracao,Alcance,Nao Socios,Youtube Ads,87
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,395,2023-08-10,,,,108409,1277.6859,Inauguracao,Alcance,Nao Socios,Youtube Ads,88
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,363,2023-08-11,,,,110722,1279.5201,Inauguracao,Alcance,Nao Socios,Youtube Ads,89
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,371,2023-08-12,,,,117756,1275.8009,Inauguracao,Alcance,Nao Socios,Youtube Ads,90
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,435,2023-08-13,,,,118954,1276.7863,Inauguracao,Alcance,Nao Socios,Youtube Ads,91
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,441,2023-08-14,,,,117822,1274.3821,Inauguracao,Alcance,Nao Socios,Youtube Ads,92
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,349,2023-08-15,,,,118925,1275.0277,Inauguracao,Alcance,Nao Socios,Youtube Ads,93
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,339,2023-08-16,,,,116098,1277.2601,Inauguracao,Alcance,Nao Socios,Youtube Ads,94
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,329,2023-08-17,,,,110796,1277.6241,Inauguracao,Alcance,Nao Socios,Youtube Ads,95
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,387,2023-08-18,,,,107055,1277.902,Inauguracao,Alcance,Nao Socios,Youtube Ads,96
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,360,2023-08-19,,,,112736,1279.6593,Inauguracao,Alcance,Nao Socios,Youtube Ads,97
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,356,2023-08-20,,,,115471,1280.6768,Inauguracao,Alcance,Nao Socios,Youtube Ads,98
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,305,2023-08-21,,,,109439,1279.2121,Inauguracao,Alcance,Nao Socios,Youtube Ads,99
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,348,2023-08-22,,,,105342,1278.0588,Inauguracao,Alcance,Nao Socios,Youtube Ads,100
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,329,2023-08-23,,,,110395,1277.6881,Inauguracao,Alcance,Nao Socios,Youtube Ads,101
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,306,2023-08-24,,,,116523,1277.7297,Inauguracao,Alcance,Nao Socios,Youtube Ads,102
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,274,2023-08-25,,,,91295,1294.4068,Inauguracao,Alcance,Nao Socios,Youtube Ads,103
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,360,2023-08-26,,,,96515,1280.4899,Inauguracao,Alcance,Nao Socios,Youtube Ads,104
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,326,2023-08-27,,,,113038,1281.2336,Inauguracao,Alcance,Nao Socios,Youtube Ads,105
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,309,2023-08-28,,,,112385,1281.9218999999998,Inauguracao,Alcance,Nao Socios,Youtube Ads,106
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,358,2023-08-29,,,,114393,1281.7551,Inauguracao,Alcance,Nao Socios,Youtube Ads,107
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,406,2023-08-30,,,,109531,1288.3351,Inauguracao,Alcance,Nao Socios,Youtube Ads,108
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2308_rio-de-janeiro,Inauguracao Barra,387,2023-08-31,,,,102349,1292.3082,Inauguracao,Alcance,Nao Socios,Youtube Ads,109
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,164,2023-09-01,,,,213035,459.51,Inauguracao,Alcance,Nao Socios,Meta Ads,110
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,189,2023-09-01,,,,123982,237.33,Inauguracao,Alcance,Nao Socios,Tiktok Ads,111
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,238,2023-09-02,,,,354106,885.45,Inauguracao,Alcance,Nao Socios,Meta Ads,112
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,401,2023-09-02,,,,244527,489.77,Inauguracao,Alcance,Nao Socios,Tiktok Ads,113
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,322,2023-09-03,,,,380995,913.12,Inauguracao,Alcance,Nao Socios,Meta Ads,114
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,327,2023-09-03,,,,221229,488.25,Inauguracao,Alcance,Nao Socios,Tiktok Ads,115
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,277,2023-09-04,,,,355532,825.05,Inauguracao,Alcance,Nao Socios,Meta Ads,116
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,307,2023-09-04,,,,201730,500.67,Inauguracao,Alcance,Nao Socios,Tiktok Ads,117
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,281,2023-09-05,,,,361882,827.12,Inauguracao,Alcance,Nao Socios,Meta Ads,118
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,334,2023-09-05,,,,234990,482.49,Inauguracao,Alcance,Nao Socios,Tiktok Ads,119
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,252,2023-09-06,,,,328818,774.0,Inauguracao,Alcance,Nao Socios,Meta Ads,120
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,372,2023-09-06,,,,237554,497.94,Inauguracao,Alcance,Nao Socios,Tiktok Ads,121
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,245,2023-09-07,,,,356117,821.44,Inauguracao,Alcance,Nao Socios,Meta Ads,122
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,369,2023-09-07,,,,221857,484.68,Inauguracao,Alcance,Nao Socios,Tiktok Ads,123
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,237,2023-09-08,,,,312608,669.93,Inauguracao,Alcance,Nao Socios,Meta Ads,124
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,385,2023-09-08,,,,217308,490.83,Inauguracao,Alcance,Nao Socios,Tiktok Ads,125
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,230,2023-09-09,,,,331381,668.48,Inauguracao,Alcance,Nao Socios,Meta Ads,126
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,354,2023-09-09,,,,216543,487.59,Inauguracao,Alcance,Nao Socios,Tiktok Ads,127
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,249,2023-09-10,,,,336409,673.67,Inauguracao,Alcance,Nao Socios,Meta Ads,128
Realizado,Marcasfilial_filial_inauguracao_inauguracao-barra_nsocios_alcance_interesses_2309,Inauguracao Barra,337,2023-09-10,,,,228053,485.39,Inauguracao,Alcance,Nao Socios,Tiktok Ads,129
