Base,campaign_name,Campanha,Soma de Cliques_plan,Data,Data de Inicio,Data de Termino,Soma de Dias_Veiculacao,Soma de Impressoes_plan,Soma de Investimento_plan,Modalidade,Objetivo,Publico,Veiculo,flight_id,den_invalido,Soma de Investimento_real,Soma de Impressoes_real,Soma de Cliques_real,pacing_investimento,pacing_impressoes,pacing_cliques
Planejado,,Joao Pessoa,17005,2024-06-01,2024-06-01,2024-06-30,29.0,5654200,22616.80078125,Inauguracao,Alcance,Nao Socios,Meta Ads,28,0,25676.79,9607978.0,9352.0,1.1352971734749868,1.699263910013795,0.5499558953249044
Planejado,,Joao Pessoa,0,2024-06-01,2024-06-01,2024-06-30,29.0,0,,Inauguracao,Alcance,Nao Socios,Youtube Ads,29,1,0.0,0.0,0.0,,,
Planejado,,Joao Pessoa,1700,2024-06-01,2024-06-01,2024-06-30,29.0,170000,3060.0,Inauguracao,Alcance,Socios,Meta Ads,30,0,0.0,0.0,0.0,0.0,0.0,0.0
Planejado,,Joao Pessoa,510,2024-06-01,2024-06-01,2024-06-30,29.0,170000,3570.0,Inauguracao,Alcance,Socios,Youtube Ads,31,0,5338.1103,557162.0,1332.0,1.4952689915966388,3.277423529411765,2.611764705882353
Planejado,,Joao Pessoa,11919,2024-06-01,2024-06-01,2024-06-30,29.0,2383800,11919.0,Regular,Alcance,Nao Socios,Tiktok Ads,32,0,11910.15,709911.0,2782.0,0.999257488044299,0.29780644349358165,0.2334088430237436
Planejado,,Joao Pessoa - Não Pulavel,0,2024-06-01,2024-06-01,2024-06-30,29.0,0,,Inauguracao,Alcance,Nao Socios,Youtube Ads,33,1,5949.3076,558959.0,694.0,,,
Planejado,,Maceio,534,2024-06-01,2024-06-01,2024-06-30,29.0,1069200,13899.599609375,Inauguracao,Alcance,Nao Socios,Meta Ads,34,0,13897.32,5545067.0,4565.0,0.9998359946013508,5.186183127572017,8.54868913857678
Planejado,,Maceio,534,2024-06-01,2024-06-01,2024-06-30,29.0,1069200,10692.0,Inauguracao,Alcance,Nao Socios,Youtube Ads,35,0,10691.3616,972421.0,1489.0,0.9999402918069585,0.9094846614291059,2.7883895131086143
Planejado,,Maceio,6177,2024-07-01,2024-07-01,2024-07-31,30.0,7722000,30888.0,Inauguracao,Alcance,Nao Socios,Meta Ads,36,0,60343.21,14702170.0,13880.0,1.9536133773633773,1.9039329189329188,2.2470454913388376
Planejado,,Maceio,2059,2024-07-01,2024-07-01,2024-07-31,30.0,2574000,30888.0,Inauguracao,Alcance,Nao Socios,Youtube Ads,37,0,30885.1302,2544311.0,11835.0,0.9999070901320901,0.988465811965812,5.747935891209325
Planejado,,Mega Day,13300,2024-06-12,2024-06-12,2024-06-19,7.0,5320000,42560.0,Regular,Alcance,Socios,Meta Ads,38,0,42560.0,3356984.0,19432.0,1.0,0.631012030075188,1.4610526315789474
Planejado,,Mega Day,11400,2024-07-08,2024-07-08,2024-07-17,9.0,4560000,59280.0,Regular,Alcance,Socios,Meta Ads,39,0,59280.0,2653301.0,20403.0,1.0,0.5818642543859649,1.789736842105263
Planejado,,Oportunidades Incriveis,11250,2024-07-05,2024-07-05,2024-07-18,13.0,4500000,45000.0,Regular,Alcance,Socios,Meta Ads,40,0,45000.0,6849360.0,14106.0,1.0,1.52208,1.2538666666666667
Planejado,,Uberlandia,3543,2024-06-01,2024-06-01,2024-06-30,29.0,1771560,9743.580078125,Inauguracao,Alcance,Nao Socios,Meta Ads,41,0,9743.48,5144308.0,3488.0,0.9999897288138243,2.9038293933030777,0.9844764324019193
Planejado,,Uberlandia,3270,2024-06-01,2024-06-01,2024-06-30,29.0,1091395,8731.16015625,Inauguracao,Alcance,Nao Socios,Youtube Ads,42,0,8730.8509,788460.0,1077.0,0.9999645801652397,0.7224332162049487,0.3293577981651376
Planejado,,Uberlandia,5694,2024-07-01,2024-07-01,2024-07-31,30.0,2847150,17082.900390625,Inauguracao,Alcance,Nao Socios,Meta Ads,43,0,17082.94,7225048.0,4939.0,1.0000023186563225,2.537642203607116,0.8674042852125043
Planejado,,Uberlandia,5704,2024-07-01,2024-07-01,2024-07-31,30.0,1904000,15232.0,Inauguracao,Alcance,Nao Socios,Youtube Ads,44,0,15231.144,1343796.0,3286.0,0.9999438025210085,0.7057752100840337,0.5760869565217391
