Campanha,Veiculo,inicio,termino,n_flights,ids_flight,plan_Soma de Investimento,plan_Soma de Impressoes,plan_Soma de Cliques,plan_investimento_nulo,real_Soma de Investimento,real_Soma de Impressoes,real_Soma de Cliques,linhas_realizado,pacing_investimento,pacing_impressoes,pacing_cliques
Feira de Santana,Youtube Ads,2024-07-01,2024-07-31,1,[14],13440.0,1680000,5033,0,13437.277399999999,1308771.0,3357.0,31,0.999797425595238,0.7790303571428572,0.6669978144247963
Fortaleza,Meta Ads,2024-06-01,2024-06-30,1,[15],4950.0,990000,495,0,4949.69,3486531.0,2295.0,28,0.9999373737373737,3.521748484848485,4.636363636363637
Fortaleza,Meta Ads,2024-07-01,2024-07-31,1,[17],11550.0,2310000,1155,0,11550.300000000001,8122664.0,3798.0,31,1.000025974025974,3.516304761904762,3.2883116883116883
Fortaleza,Youtube Ads,2024-06-01,2024-06-30,1,[16],4200.0,420000,210,0,4200.2319,462621.0,180.0,25,1.0000552142857142,1.1014785714285715,0.8571428571428571
Fortaleza,Youtube Ads,2024-07-01,2024-07-31,1,[18],8400.0,840000,420,0,8398.8864,986755.0,544.0,31,0.9998674285714285,1.1747083333333332,1.2952380952380953
Freeshop,Meta Ads,2024-06-17,2024-07-08,4,"[19, 20, 21, 22]",130157.5625,37485853,353602,0,166957.62,42784676.0,40607.0,48,1.2827346855085735,1.1413552734147465,0.11483815136792212
Impulsionamentos,Meta Ads,2024-06-01,2024-06-30,1,[23],74500.0,7450000,37250,0,74500.0,6827257.0,39765.0,27,1.0,0.9164103355704698,1.06751677852349
Impulsionamentos,Meta Ads,2024-07-01,2024-07-31,1,[25],32666.669921875,3266667,16333,0,29421.98,2981967.0,31387.0,26,0.9006727673915051,0.9128469476686788,1.9216922794342741
Impulsionamentos,Tiktok Ads,2024-06-01,2024-06-30,1,[24],46000.0,4600000,23000,0,22325.39,1251351.0,2679.0,19,0.48533456521739127,0.2720328260869565,0.11647826086956521
Impulsionamentos,Tiktok Ads,2024-07-01,2024-07-31,1,[26],16333.330078125,1088888,5444,0,13054.710000000001,859566.0,2044.0,20,0.7992681184765862,0.7893979913452991,0.37545922116091107
Inauguracao,Tiktok Ads,2024-07-19,2024-07-31,1,[27],24797.5,3542500,18233,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Joao Pessoa,Meta Ads,2024-06-01,2024-06-30,2,"[28, 30]",25676.80078125,5824200,18705,0,25676.79,9607978.0,9352.0,57,0.9999995801170835,1.6496648466742214,0.4999732691793638
Joao Pessoa,Tiktok Ads,2024-06-01,2024-06-30,1,[32],11919.0,2383800,11919,0,11910.15,709911.0,2782.0,18,0.999257488044299,0.29780644349358165,0.2334088430237436
Joao Pessoa,Youtube Ads,2024-06-01,2024-06-30,2,"[29, 31]",3570.0,170000,510,1,5338.1103,557162.0,1332.0,50,1.4952689915966388,3.277423529411765,2.611764705882353
Joao Pessoa - Não Pulavel,Youtube Ads,2024-06-01,2024-06-30,1,[33],,0,0,1,5949.3076,558959.0,694.0,26,,,
Maceio,Meta Ads,2024-06-01,2024-06-30,1,[34],13899.599609375,1069200,534,0,13897.32,5545067.0,4565.0,28,0.9998359946013508,5.186183127572017,8.54868913857678
Maceio,Meta Ads,2024-07-01,2024-07-31,1,[36],30888.0,7722000,6177,0,60343.21,14702170.0,13880.0,31,1.9536133773633773,1.9039329189329188,2.2470454913388376
Maceio,Youtube Ads,2024-06-01,2024-06-30,1,[35],10692.0,1069200,534,0,10691.3616,972421.0,1489.0,25,0.9999402918069585,0.9094846614291059,2.7883895131086143
Maceio,Youtube Ads,2024-07-01,2024-07-31,1,[37],30888.0,2574000,2059,0,30885.1302,2544311.0,11835.0,31,0.9999070901320901,0.988465811965812,5.747935891209325
Mega Day,Meta Ads,2024-06-12,2024-06-19,1,[38],42560.0,5320000,13300,0,42560.0,3356984.0,19432.0,8,1.0,0.631012030075188,1.4610526315789474
Mega Day,Meta Ads,2024-07-08,2024-07-17,1,[39],59280.0,4560000,11400,0,59280.0,2653301.0,20403.0,8,1.0,0.5818642543859649,1.789736842105263
Oportunidades Incriveis,Meta Ads,2024-07-05,2024-07-18,1,[40],45000.0,4500000,11250,0,45000.0,6849360.0,14106.0,14,1.0,1.52208,1.2538666666666667
Uberlandia,Meta Ads,2024-06-01,2024-06-30,1,[41],9743.580078125,1771560,3543,0,9743.48,5144308.0,3488.0,30,0.9999897288138243,2.9038293933030777,0.9844764324019193
Uberlandia,Meta Ads,2024-07-01,2024-07-31,1,[43],17082.900390625,2847150,5694,0,17082.94,7225048.0,4939.0,31,1.0000023186563225,2.537642203607116,0.8674042852125043
Uberlandia,Youtube Ads,2024-06-01,2024-06-30,1,[42],8731.16015625,1091395,3270,0,8730.8509,788460.0,1077.0,26,0.9999645801652397,0.7224332162049487,0.3293577981651376
Uberlandia,Youtube Ads,2024-07-01,2024-07-31,1,[44],15232.0,1904000,5704,0,15231.144,1343796.0,3286.0,31,0.9999438025210085,0.7057752100840337,0.5760869565217391
