Campanha,Veiculo,inicio,termino,n_flights,dias_entrega,plan_Soma de Investimento,plan_Soma de Impressoes,plan_Soma de Cliques,real_Soma de Investimento,real_Soma de Impressoes,real_Soma de Cliques,pacing_investimento,pacing_impressoes,pacing_cliques,slug
Joao Pessoa - Não Pulavel,Youtube Ads,2024-06-01,2024-06-30,1,26,,0,0,5949.3076,558959.0,694.0,,,,joao_pessoa_nao_pulavel_youtube_ads_0601
Maceio,Meta Ads,2024-06-01,2024-06-30,1,28,13899.599609375,1069200,534,13897.32,5545067.0,4565.0,0.9998359946013508,5.186183127572017,8.54868913857678,maceio_meta_ads_0601
Maceio,Meta Ads,2024-07-01,2024-07-31,1,31,30888.0,7722000,6177,60343.21,14702170.0,13880.0,1.9536133773633773,1.9039329189329188,2.2470454913388376,maceio_meta_ads_0701
Maceio,Youtube Ads,2024-06-01,2024-06-30,1,25,10692.0,1069200,534,10691.3616,972421.0,1489.0,0.9999402918069585,0.9094846614291059,2.7883895131086143,maceio_youtube_ads_0601
Maceio,Youtube Ads,2024-07-01,2024-07-31,1,31,30888.0,2574000,2059,30885.1302,2544311.0,11835.0,0.9999070901320901,0.988465811965812,5.747935891209325,maceio_youtube_ads_0701
Mega Day,Meta Ads,2024-06-12,2024-06-19,1,8,42560.0,5320000,13300,42560.0,3356984.0,19432.0,1.0,0.631012030075188,1.4610526315789474,mega_day_meta_ads_0612
Mega Day,Meta Ads,2024-07-08,2024-07-17,1,8,59280.0,4560000,11400,59280.0,2653301.0,20403.0,1.0,0.5818642543859649,1.789736842105263,mega_day_meta_ads_0708
Oportunidades Incriveis,Meta Ads,2024-07-05,2024-07-18,1,14,45000.0,4500000,11250,45000.0,6849360.0,14106.0,1.0,1.52208,1.2538666666666667,oportunidades_incriveis_meta_ads_0705
Uberlandia,Meta Ads,2024-06-01,2024-06-30,1,30,9743.580078125,1771560,3543,9743.48,5144308.0,3488.0,0.9999897288138243,2.9038293933030777,0.9844764324019193,uberlandia_meta_ads_0601
Uberlandia,Meta Ads,2024-07-01,2024-07-31,1,31,17082.900390625,2847150,5694,17082.94,7225048.0,4939.0,1.0000023186563225,2.537642203607116,0.8674042852125043,uberlandia_meta_ads_0701
Uberlandia,Youtube Ads,2024-06-01,2024-06-30,1,26,8731.16015625,1091395,3270,8730.8509,788460.0,1077.0,0.9999645801652397,0.7224332162049487,0.3293577981651376,uberlandia_youtube_ads_0601
Uberlandia,Youtube Ads,2024-07-01,2024-07-31,1,31,15232.0,1904000,5704,15231.144,1343796.0,3286.0,0.9999438025210085,0.7057752100840337,0.5760869565217391,uberlandia_youtube_ads_0701
