Campanha,Veiculo,Publico,Modalidade,Inicio,Termino,Flights,PlanInv,RealInv,RealInvExcl,PlanImp,RealImp,PlanCli,RealCli,Pac_Inv,Pac_Imp,Pac_Cli
Joao Pessoa - Não Pulavel,Youtube Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,0.0,5949.3076,5711.0674,0.0,558959.0,0.0,694.0,,,
Maceio,Meta Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,13899.599609375,13897.320000000002,13322.000000000002,1069200.0,5545067.0,534.0,4565.0,0.9998359946013509,5.186183127572017,8.54868913857678
Maceio,Youtube Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,10692.0,10691.3616,10250.3742,1069200.0,972421.0,534.0,1489.0,0.9999402918069585,0.9094846614291059,2.7883895131086143
Uberlandia,Meta Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,9743.580078125,9743.48,9417.109999999999,1771560.0,5144308.0,3543.0,3488.0,0.9999897288138243,2.9038293933030777,0.9844764324019193
Uberlandia,Youtube Ads,Nao Socios,Inauguracao,2024-06-01,2024-06-30,1,8731.16015625,8730.8509,8390.9655,1091395.0,788460.0,3270.0,1077.0,0.9999645801652397,0.7224332162049487,0.3293577981651376
Fds1,Meta Ads,Socios,Regular,2024-06-06,2024-06-09,1,30400.0,30400.0,22181.670000000002,3800000.0,2021984.0,9500.0,5190.0,1.0,0.5321010526315789,0.5463157894736842
Cashback Resgate,Meta Ads,Socios,Regular,2024-06-10,2024-06-30,1,19847.51953125,17984.399999999998,16820.469999999998,257760.0,283989.0,1546.0,1224.0,0.9061283437299803,1.1017574487895716,0.7917205692108668
Especial Cabelos,Meta Ads,Socios,Trade,2024-06-11,2024-06-23,1,5000.0,5000.000000000001,4543.210000000001,1250000.0,1785118.0,1872.0,1979.0,1.0000000000000002,1.4280944,1.0571581196581197
Mega Day,Meta Ads,Socios,Regular,2024-06-12,2024-06-19,1,42560.0,42560.0,24310.019999999997,5320000.0,3356984.0,13300.0,19432.0,1.0,0.631012030075188,1.4610526315789474
Fds2,Meta Ads,Socios,Regular,2024-06-13,2024-06-19,1,19186.19921875,19186.2,16764.33,1279080.0,1267473.0,3197.0,2519.0,1.000000040719373,0.9909255089595647,0.7879261807944948
Fds2 Ofertasbr,Meta Ads,Socios,Regular,2024-06-13,2024-06-16,1,24547.130859375,24547.13,17552.09,1636475.0,1875971.0,4091.0,3496.0,0.9999999649908169,1.146348706824119,0.8545587875824981
Freeshop,Meta Ads,Nao Socios,Regular,2024-06-17,2024-06-30,1,99257.5625,99257.59,87365.7,33085853.0,33706321.0,330858.0,25751.0,1.000000277056975,1.0187532719800212,0.07783097280404282
Freeshop,Meta Ads,Socios,Regular,2024-06-17,2024-06-30,1,20900.0,62700.03,54086.86,1900000.0,7331029.0,19000.0,12744.0,3.0000014354066984,3.858436315789474,0.6707368421052632
Freeshop,Meta Ads,Socios,Trade,2024-06-18,2024-07-08,2,10000.0,5000.0,5000.0,2500000.0,1747326.0,3744.0,2112.0,0.5,0.6989304,0.5641025641025641
Fds3,Meta Ads,Socios,Regular,2024-06-20,2024-06-23,1,19186.19921875,19186.199999999997,13608.189999999999,1279080.0,874994.0,3197.0,1718.0,1.0000000407193728,0.6840807455358539,0.5373787926180794
Fds3 Ofertasbr,Meta Ads,Socios,Regular,2024-06-20,2024-06-23,1,24547.130859375,24547.13,17700.170000000002,1636475.0,3046794.0,4091.0,4472.0,0.9999999649908169,1.8618029606318458,1.0931312637496944
Cashback,Meta Ads,Socios,Regular,2024-07-01,2024-07-07,1,41040.0,41040.0,34492.2,2160000.0,4431501.0,4320.0,8015.0,1.0,2.0516208333333332,1.8553240740740742
Feira de Santana,Meta Ads,Nao Socios,Inauguracao,2024-07-01,2024-07-31,1,13526.400390625,13526.4,13059.97,2254400.0,5977295.0,4508.0,4507.0,0.9999999711212896,2.651390613910575,0.9997781721384206
Feira de Santana,Youtube Ads,Nao Socios,Inauguracao,2024-07-01,2024-07-31,1,13440.0,13437.277399999999,12947.479399999998,1680000.0,1308771.0,5033.0,3357.0,0.999797425595238,0.7790303571428572,0.6669978144247963
Fortaleza,Meta Ads,Nao Socios,Inauguracao,2024-07-01,2024-07-31,1,11550.0,11550.300000000001,11160.11,2310000.0,8122664.0,1155.0,3798.0,1.000025974025974,3.516304761904762,3.2883116883116883
Fortaleza,Youtube Ads,Nao Socios,Inauguracao,2024-07-01,2024-07-31,1,8400.0,8398.886400000001,8102.5955,840000.0,986755.0,420.0,544.0,0.9998674285714287,1.1747083333333332,1.2952380952380953
Impulsionamentos,Meta Ads,Socios,Regular,2024-07-01,2024-07-31,1,32666.669921875,29421.980000000003,27858.320000000003,3266667.0,2981967.0,16333.0,31387.0,0.9006727673915053,0.9128469476686788,1.9216922794342741
Impulsionamentos,Tiktok Ads,Socios,Regular,2024-07-01,2024-07-31,1,16333.330078125,13054.71,12709.91,1088888.0,859566.0,5444.0,2044.0,0.7992681184765861,0.7893979913452991,0.37545922116091107
Maceio,Meta Ads,Nao Socios,Inauguracao,2024-07-01,2024-07-31,1,30888.0,60343.21,56784.14,7722000.0,14702170.0,6177.0,13880.0,1.9536133773633773,1.9039329189329188,2.2470454913388376
Maceio,Youtube Ads,Nao Socios,Inauguracao,2024-07-01,2024-07-31,1,30888.0,30885.130200000003,29872.325500000003,2574000.0,2544311.0,2059.0,11835.0,0.9999070901320902,0.988465811965812,5.747935891209325
Uberlandia,Meta Ads,Nao Socios,Inauguracao,2024-07-01,2024-07-31,1,17082.900390625,17082.94,16490.34,2847150.0,7225048.0,5694.0,4939.0,1.0000023186563225,2.537642203607116,0.8674042852125043
Uberlandia,Youtube Ads,Nao Socios,Inauguracao,2024-07-01,2024-07-31,1,15232.0,15231.143999999998,14727.570799999998,1904000.0,1343796.0,5704.0,3286.0,0.9999438025210083,0.7057752100840337,0.5760869565217391
Fds1,Meta Ads,Socios,Regular,2024-07-04,2024-07-07,1,45600.0,45600.0,32575.390000000003,4560000.0,4180127.0,11400.0,7493.0,1.0,0.9166945175438597,0.6572807017543859
Oportunidades Incriveis,Meta Ads,Socios,Regular,2024-07-05,2024-07-18,1,45000.0,45000.0,41982.78,4500000.0,6849360.0,11250.0,14106.0,1.0,1.52208,1.2538666666666667
Cashback Resgate,Meta Ads,Socios,Regular,2024-07-08,2024-07-31,1,7020.0,7020.000000000001,6665.070000000001,135000.0,250634.0,809.0,1161.0,1.0000000000000002,1.856548148148148,1.435105067985167
Mega Day,Meta Ads,Socios,Regular,2024-07-08,2024-07-17,1,59280.0,59280.0,23746.760000000002,4560000.0,2653301.0,11400.0,20403.0,1.0,0.5818642543859649,1.789736842105263
Inauguracao,Tiktok Ads,Nao Socios,Regular,2024-07-19,2024-07-31,1,24797.5,0.0,0.0,3542500.0,0.0,18233.0,0.0,0.0,0.0,0.0
