Campanha,Soma de Investimento,Soma de Impressoes,Soma de Cliques
Gourmet Pascoa,26676.38,3750531,19649
Natal Japao,25810.3016,1009124,6091
Festival*Casa*Conectada,25000.0,1657798,22273
Happy Hour,24531.03,2277078,20417
Cashback Resgate,23214.99,356788,2003
Novo*Posicionamento*Hero,22954.2727,542606,2466
Resgate De Cupom,20000.0,1535499,11348
Festival*Bebe,20000.0,2292612,18530
Socio*Week*Influenciador,19376.829999999998,1596012,38112
Dia*Do*Cafe,19198.29,3878040,12618
Cashblack,17600.0,1298805,3356
Inauguracao*Barra*Interesses,17105.4,955554,3499
Hora Do Gin,17000.0,1807763,14279
Filme3,16654.0865,1318710,391
Filme4,16654.039,1325203,398
Filme2,16653.9862,1321691,420
Filme5,16653.3767,1303992,350
Novo*Posicionamento*Filme2,16144.5915,367646,2177
Joao Pessoa - Não Pulavel,15265.3755,1705744,6891
Pescados,15000.0,1581622,14778
Fds4*Adicional*Bebidas,15000.0,1075062,5687
Inseticidas,14995.039999999999,2964643,2651
Dia*Das*Maes,14869.94,2248677,15812
Freeshop Vini,14858.3583,584831,3660
Freeshop Jesk,14844.6273,477114,3133
Inauguracao Lauro,13811.370499999999,871463,5347
Freeshop Gui,13495.3683,401372,1850
Inauguracao Bonoco,13454.688400000001,363338,1906
Pascoa*Tiktok,13241.5,903399,0
Festival*Eletro,12999.97,1612104,6763
Fds1*Cashback*Influenciador,12199.36,383992,5293
Novo*Posicionamento*Filme3,12028.5305,255255,1347
Reforco Passe Livre,11904.0,1915078,11446
Novo*Posicionamento*Filme4,11348.6856,304836,1587
Inauguracao*Granja*Viana,10534.2676,6176723,9278
Taste Room,10371.5,432184,3541
Novo*Posicionamento*Filme5,10317.9013,260757,1418
Momento Saude,10000.02,1104130,4729
Zorba,10000.0,993894,16088
Festival*Cuide*Se,10000.0,2455839,4192
Diageo*Trade,10000.0,1138340,6578
Casa Limpa,10000.0,2563866,3978
Dia Dos Pais,10000.0,760939,7172
Glenlivet,10000.0,732311,10277
Festival*Energia,10000.0,909882,3049
Especial*Cabelos,10000.0,1004110,7994
Sundown,9000.0,3466235,3636
Australian Gold,9000.0,3536528,4080
Natal Previa,8586.5802,546081,2869
Inauguracao*Granja*Viana*Display,8482.6632,3888519,6079
Fds5 Ofertasbr,8142.0772,201964,1164
Teste*Ecomm,8035.139999999999,430187,1905
Facebook,8006.05,959263,12002
Festival*Da*Limpeza,8000.0,678306,9260
Semana*Do*Consumidor,8000.0,413603,8489
Teste*Ecomm*Clique*Retire,7180.0884,162523,762
Marcasung,6730.41,1046503,5170
Teste*Ecomm*Primeira*Compra,6533.2553,210531,1231
Feira de Santana,6226.0744,1295872,1990
Festival*Eletro*Influenciador,6176.870000000001,126930,1905
Inauguracao*Barra*Lal,5191.59,254927,1273
Patrocinados Lg,5000.0,1031052,3937
Semana Da Mulher,5000.0,1331226,1148
Casa Limpa Organizada,5000.0,1767506,2145
Semana*Da*Mulher,5000.0,155621,610
Momentos De Cuidado,5000.0,1916119,1857
Negociacao Especial,5000.0,816733,1073
Trademkt Bebidas,5000.0,3958796,3472
Cadence*Trade,5000.0,541670,5867
Catupiry,5000.0,315494,2858
Casa Limpa 3m,5000.0,1673525,1612
Pao De Queijo,5000.0,288247,2043
Festival*Limpeza*Influenciador,4999.93,197808,950
Sustentacao*Teresina,4520.25,662164,2323
Festival Pet,4331.75,513429,4882
Festival*Fitness,4000.0,808689,1037
Almoco*Pascoa,4000.0,482253,4598
Influenciador*Mega*Fds,3715.63,65473,1120
Solucao Da Casa,3047.0,297878,3906
Volta*As*Aulas,3000.0,273922,3874
Eze Creperie,3000.0,967957,960
Colgate,3000.0,324213,741
Pre*Carnaval,3000.0,253394,680
Super*Bowl,3000.0,592714,628
Reforco Bonoco,2880.2639,222889,170
Reforco Lauro De Freitas,2693.0495,202221,148
Beleza E Cuidado,2584.13,1261123,1229
Inverno Perfumaria,2500.0,676957,482
Acao*Cashback,2345.89,66026,221
Casa*Flora,1999.8700000000001,200802,3530
Granut,1007.92,393303,406
Lindt Pascoa,1000.0,447001,756
Reckitt,648.6700000000001,168454,158
